date,rider_id,route_id,menu_type,backup_route,total_deliveries,completed_deliveries,cancelled_deliveries,ontime_deliveries,delayed_deliveries,uncontactable_customers,total_customers,total_meal,total_meal_revenue,delay_min_per_drop,scheduled_start_time,actual_start_time,first_customer_arrived_time,scheduled_last_delivered_time,actual_last_delivered_time,avg_rider_rating,avg_service_mins
01 Apr 2019,Rider 32,5ca1e259a3273e0ce8c7edea,Dinner,N,7,7,0,3,4,0,7,10,1821,16,6:15 PM,6:15 PM,6:44 PM,7:30 PM,8:03 PM,5,4.66
01 Apr 2019,Rider 75,5ca1e259a3273e0ce8c7ede7,Dinner,N,5,5,0,2,3,0,5,11,2396.9,31,6:15 PM,6:15 PM,6:42 PM,7:30 PM,7:45 PM,4.5,9.21
01 Apr 2019,Rider 86,5ca1e259a3273e0ce8c7edd9,Dinner,N,2,2,0,2,0,0,2,2,69.6,,6:15 PM,6:16 PM,6:25 PM,7:30 PM,7:02 PM,5,21.31
01 Apr 2019,Rider 156,5ca1e259a3273e0ce8c7eddb,Dinner,N,9,9,0,7,2,0,9,16,4572.8,19,6:15 PM,6:16 PM,6:31 PM,7:30 PM,7:43 PM,4.8,3.19
01 Apr 2019,Rider 10,5ca1e259a3273e0ce8c7ede0,Dinner,N,7,7,0,7,0,0,7,7,3118.8,,6:15 PM,6:17 PM,6:28 PM,7:30 PM,7:19 PM,5,4.56
01 Apr 2019,Rider 165,5ca1e259a3273e0ce8c7f0d1,Dinner,N,8,8,0,6,2,0,8,12,1811,35,6:15 PM,6:17 PM,6:51 PM,7:30 PM,7:35 PM,5,3.51
01 Apr 2019,Rider 3,5ca1e259a3273e0ce8c7f0d4,Dinner,N,5,5,0,2,3,0,5,10,1467.9,37,6:15 PM,6:18 PM,6:43 PM,7:30 PM,8:00 PM,4,2.4
01 Apr 2019,Rider 102,5ca1e259a3273e0ce8c7ede9,Dinner,N,7,5,2,2,3,0,7,9,1329.6,12,6:15 PM,6:18 PM,7:12 PM,7:30 PM,7:39 PM,4,3.95
01 Apr 2019,Rider 40,5ca1e259a3273e0ce8c7ede2,Dinner,N,4,4,0,1,3,0,4,8,884.1,10,6:16 PM,6:18 PM,6:34 PM,7:30 PM,7:48 PM,5,3.91
01 Apr 2019,Rider 83,5ca1e259a3273e0ce8c7ede8,Dinner,N,8,8,0,5,3,0,8,11,1242.4,23,6:16 PM,6:18 PM,6:49 PM,7:30 PM,7:39 PM,4.5,4.17
01 Apr 2019,Rider 16,5ca1e259a3273e0ce8c7edd8,Dinner,N,4,4,0,1,3,0,4,7,2608.1,35,6:16 PM,6:19 PM,6:24 PM,7:30 PM,7:50 PM,5,4.04
01 Apr 2019,Rider 150,5ca1e259a3273e0ce8c7f0d2,Dinner,N,7,7,0,4,3,0,7,13,814.8,21,6:16 PM,6:21 PM,6:58 PM,7:30 PM,7:48 PM,5,5.44
01 Apr 2019,Rider 67,5ca1e259a3273e0ce8c7ede6,Dinner,N,4,4,0,4,0,0,4,5,2784,,6:16 PM,6:22 PM,6:45 PM,7:30 PM,7:26 PM,3,1.23
01 Apr 2019,Rider 138,5ca1e259a3273e0ce8c7f0d3,Dinner,N,6,6,0,4,2,0,6,9,1003.2,16,6:16 PM,6:22 PM,6:44 PM,7:30 PM,7:47 PM,5,3.33
01 Apr 2019,Rider 11,5ca1e259a3273e0ce8c7edeb,Dinner,N,6,6,0,2,4,0,6,12,1234.8,38,6:16 PM,6:23 PM,6:50 PM,7:30 PM,8:05 PM,5,6.35
01 Apr 2019,Rider 41,5ca1e259a3273e0ce8c7edde,Dinner,N,5,5,0,2,3,0,5,8,3260.4,15,6:16 PM,6:23 PM,6:37 PM,7:30 PM,7:39 PM,4.75,2.74
01 Apr 2019,Rider 53,5ca1e259a3273e0ce8c7eddf,Dinner,N,5,4,1,1,3,0,5,9,3640,11,6:17 PM,6:23 PM,6:39 PM,7:30 PM,8:23 PM,1,6.5
01 Apr 2019,Rider 25,5ca1e259a3273e0ce8c7ede5,Dinner,N,7,7,0,5,2,0,7,13,437.5,5,6:17 PM,6:26 PM,6:39 PM,7:30 PM,7:55 PM,5,3.09
01 Apr 2019,Rider 118,5ca1e259a3273e0ce8c7ede4,Dinner,N,5,5,0,1,4,0,5,13,1621.8,30,6:17 PM,6:31 PM,6:33 PM,7:30 PM,7:49 PM,4.2,3.75
01 Apr 2019,Rider 119,5ca1e259a3273e0ce8c7ede1,Dinner,N,7,7,0,3,4,0,7,17,2753.4,33,6:17 PM,6:31 PM,6:50 PM,7:30 PM,8:00 PM,2.67,4.61
01 Apr 2019,Rider 148,5ca1e259a3273e0ce8c7edda,Dinner,N,6,6,0,5,1,0,4,8,3202.8,19,6:17 PM,6:31 PM,6:53 PM,7:30 PM,8:04 PM,4,7.86
01 Apr 2019,Rider 74,5ca1e259a3273e0ce8c7edee,Dinner,N,5,5,0,0,5,0,5,8,1129.6,27,6:17 PM,6:32 PM,7:00 PM,7:30 PM,8:11 PM,2.33,2.79
01 Apr 2019,Rider 191,5ca1e259a3273e0ce8c7edec,Dinner,N,5,5,0,2,3,0,5,6,1129.8,21,6:17 PM,6:34 PM,7:02 PM,7:30 PM,8:12 PM,4.67,4.88
01 Apr 2019,Rider 202,5ca1e259a3273e0ce8c7eded,Dinner,N,5,5,0,4,1,0,5,9,2301.2,16,6:17 PM,6:35 PM,7:06 PM,7:30 PM,7:42 PM,5,3.99
01 Apr 2019,Rider 205,5ca1e259a3273e0ce8c7ede3,Dinner,N,6,6,0,4,2,0,6,7,686.4,38,6:18 PM,6:35 PM,7:02 PM,7:30 PM,7:41 PM,5,4.64
01 Apr 2019,Rider 206,5ca1e259a3273e0ce8c7eddc,Dinner,N,5,4,1,1,3,0,5,11,2022,28,6:18 PM,6:43 PM,7:07 PM,7:30 PM,7:49 PM,5,5.08
01 Apr 2019,Rider 60,5ca1e259a3273e0ce8c7f0d0,Dinner,N,5,5,0,1,4,0,5,10,1611.9,28,6:35 PM,6:51 PM,6:48 PM,7:30 PM,7:53 PM,4.67,1.81
01 Apr 2019,Rider 42,5ca1ee9d25bf077e811a8b45,Dinner,Y,5,5,0,1,4,0,5,9,1756.8,11,6:57 PM,6:58 PM,7:13 PM,7:30 PM,7:54 PM,5,4.54
01 Apr 2019,Rider 15,5ca1f069a3273e0ce8c876ce,Dinner,N,5,5,0,4,1,0,5,6,710.4,30,7:15 PM,7:14 PM,7:49 PM,8:30 PM,8:30 PM,5,1.86
01 Apr 2019,Rider 96,5ca1f069a3273e0ce8c876c5,Dinner,N,4,4,0,3,1,0,4,4,318.4,9,7:15 PM,7:14 PM,7:35 PM,8:30 PM,8:25 PM,4.5,2.45
01 Apr 2019,Rider 70,5ca1f068a3273e0ce8c876b5,Dinner,N,11,11,0,11,0,0,11,16,5500.8,,7:15 PM,7:14 PM,7:15 PM,8:30 PM,8:20 PM,4.71,4.64
01 Apr 2019,Rider 72,5ca1f069a3273e0ce8c876c8,Dinner,N,5,5,0,3,2,0,5,8,1386.4,34,7:15 PM,7:15 PM,7:37 PM,8:30 PM,8:34 PM,5,3.29
01 Apr 2019,Rider 216,5ca1f069a3273e0ce8c876cc,Dinner,N,6,6,0,3,3,0,6,8,1991,26,7:15 PM,7:15 PM,7:37 PM,8:30 PM,9:05 PM,5,9.03
01 Apr 2019,Rider 216,5ca1f069a3273e0ce8c876cf,Dinner,N,1,1,0,0,1,0,1,1,1630.8,11,7:15 PM,7:15 PM,7:34 PM,8:30 PM,8:01 PM,3,2.77
01 Apr 2019,Rider 100,5ca1f069a3273e0ce8c876b9,Dinner,N,7,7,0,6,1,0,7,12,1234.4,33,7:16 PM,7:18 PM,7:32 PM,8:30 PM,8:43 PM,4.5,3.58
01 Apr 2019,Rider 36,5ca1f069a3273e0ce8c876b9,Dinner,N,6,6,0,4,2,0,6,11,0,16,7:16 PM,7:18 PM,7:59 PM,8:00 PM,8:31 PM,5,1.8
01 Apr 2019,Rider 130,5ca1f068a3273e0ce8c876b6,Dinner,N,7,7,0,4,3,0,7,9,2652,13,7:16 PM,7:18 PM,7:27 PM,8:30 PM,8:50 PM,4.5,4.59
01 Apr 2019,Rider 73,5ca1f069a3273e0ce8c876c4,Dinner,N,5,5,0,2,3,0,5,14,2545.2,35,7:16 PM,7:24 PM,7:52 PM,8:30 PM,8:47 PM,5,2.85
01 Apr 2019,Rider 1,5ca1f069a3273e0ce8c876b8,Dinner,N,6,6,0,2,4,1,6,9,5394.1,19,7:16 PM,7:26 PM,7:37 PM,8:30 PM,8:39 PM,5,5.27
01 Apr 2019,Rider 91,5ca1f069a3273e0ce8c876c7,Dinner,N,8,8,0,5,3,0,8,17,1121.6,19,7:16 PM,7:26 PM,8:01 PM,8:30 PM,9:12 PM,3,5.43
01 Apr 2019,Rider 26,5ca1f069a3273e0ce8c876ca,Dinner,N,5,5,0,0,5,0,5,8,1098.9,28,7:17 PM,7:37 PM,7:57 PM,8:30 PM,9:06 PM,4.67,3.54
01 Apr 2019,Rider 169,5ca1f069a3273e0ce8c876c3,Dinner,N,6,6,0,2,4,0,6,12,2385.6,38,7:17 PM,7:40 PM,8:03 PM,8:30 PM,8:57 PM,5,3.22
01 Apr 2019,Rider 14,5ca1f069a3273e0ce8c876cd,Dinner,N,8,5,3,0,5,1,8,10,1861,24,7:17 PM,7:57 PM,8:10 PM,8:30 PM,9:31 PM,4.33,8.92
01 Apr 2019,Rider 118,5ca1fe755998cc462bec80ce,Dinner,N,9,9,0,9,0,0,9,15,3682.5,,8:15 PM,8:20 PM,8:27 PM,9:30 PM,9:24 PM,4.33,2.09
01 Apr 2019,Rider 90,5ca1fe755998cc462bec80cd,Dinner,N,6,6,0,4,2,0,6,9,1756.8,26,8:15 PM,8:22 PM,8:36 PM,9:30 PM,9:30 PM,4.25,3.43
01 Apr 2019,Rider 16,5ca1fe765998cc462bec80cf,Dinner,N,6,6,0,4,2,0,6,7,1018.5,31,8:15 PM,8:25 PM,8:43 PM,9:30 PM,9:41 PM,4.5,4.5
01 Apr 2019,Rider 24,5ca1fe765998cc462bec80d1,Dinner,N,5,5,0,1,4,0,5,7,744.1,20,8:15 PM,8:28 PM,9:04 PM,9:30 PM,10:02 PM,4.75,3.59
01 Apr 2019,Rider 40,5ca1fe765998cc462bec80d2,Dinner,N,6,6,0,4,2,0,6,15,2359.5,30,8:15 PM,8:28 PM,8:55 PM,9:30 PM,9:45 PM,5,3.06
01 Apr 2019,Rider 11,5ca1fe755998cc462bec80c6,Dinner,N,6,6,0,2,4,0,6,10,2252,35,8:16 PM,8:46 PM,9:00 PM,9:30 PM,10:14 PM,5,3.3
01 Apr 2019,Rider 70,5ca1fe765998cc462bec80d4,Lunch,N,5,5,0,5,0,0,4,7,1145.6,,8:16 PM,8:50 AM,9:30 PM,9:30 PM,9:55 AM,5,5.08
01 Apr 2019,Rider 83,5ca1fe755998cc462bec80c4,Lunch,N,6,6,0,6,0,0,6,14,1065.6,,8:16 PM,8:53 AM,9:22 PM,9:30 PM,10:10 AM,5,4.23
01 Apr 2019,Rider 101,5ca15cbc12bd2a13869a87db,Lunch,N,5,5,0,5,0,1,5,12,815.5,,8:55 AM,8:54 AM,9:06 AM,10:15 AM,10:07 AM,4.33,3.41
01 Apr 2019,Rider 125,5ca15cbc12bd2a13869a87de,Lunch,N,5,5,0,4,1,1,5,5,3341.8,12,8:55 AM,8:54 AM,9:04 AM,10:15 AM,10:17 AM,5,5.46
01 Apr 2019,Rider 42,5ca15cbc12bd2a13869a87e2,Lunch,N,5,5,0,5,0,0,5,10,2662.8,,8:55 AM,8:55 AM,9:08 AM,10:15 AM,9:44 AM,4.75,1.76
01 Apr 2019,Rider 122,5ca15cbc12bd2a13869a87dc,Lunch,N,4,3,1,1,2,0,4,17,653,21,8:55 AM,8:55 AM,9:17 AM,10:15 AM,10:24 AM,5,4.18
01 Apr 2019,Rider 97,5ca15cbc12bd2a13869a87dd,Lunch,N,5,5,0,5,0,1,5,8,4481.2,,8:55 AM,8:56 AM,9:28 AM,10:15 AM,9:56 AM,5,5.3
01 Apr 2019,Rider 107,5ca15cbc12bd2a13869a87e3,Lunch,N,3,3,0,3,0,0,3,6,458.4,,8:55 AM,8:57 AM,9:19 AM,10:15 AM,9:44 AM,4.5,2.62
01 Apr 2019,Rider 204,5ca15cbc12bd2a13869a87da,Lunch,N,5,5,0,4,1,0,5,7,954.8,23,8:55 AM,9:04 AM,9:23 AM,10:15 AM,10:33 AM,2.6,8.64
01 Apr 2019,Rider 25,5ca15cbc12bd2a13869a87df,Lunch,N,5,5,0,5,0,0,5,11,1624.7,,8:55 AM,9:05 AM,9:21 AM,10:15 AM,10:05 AM,5,4.31
01 Apr 2019,Rider 147,5ca15cbc12bd2a13869a87e1,Lunch,N,2,2,0,2,0,0,2,6,1701,,8:55 AM,9:06 AM,9:22 AM,10:15 AM,10:01 AM,5,8.44
01 Apr 2019,Rider 112,5ca15cbc12bd2a13869a87d9,Lunch,N,5,5,0,4,1,0,5,10,2342,26,8:56 AM,9:07 AM,9:12 AM,10:15 AM,10:26 AM,4.75,4.09
01 Apr 2019,Rider 32,5ca15cbc12bd2a13869a87d8,Dinner,N,4,4,0,0,4,0,4,8,1065.6,19,8:56 AM,9:13 PM,9:02 AM,10:15 AM,10:41 PM,1.6,2.94
01 Apr 2019,Rider 206,5ca15cbc12bd2a13869a87e0,Dinner,N,6,4,2,1,3,0,6,8,459,9,8:56 AM,9:13 PM,9:37 AM,10:15 AM,10:00 PM,4,2.52
